date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2019-01-03,sz.000100,2.5100,2.5300,2.4900,2.5300,2.5100,49923933,125561950.5000,3,0.425684,1,0.796812,10.554531,1.146840,0.306893,-8.404314,0
2019-01-04,sz.000100,2.5100,2.5800,2.5100,2.5700,2.5300,79339579,203158413.8300,3,0.620433,1,1.581026,10.721401,1.164972,0.311745,-8.537188,0
2019-01-07,sz.000100,2.7000,2.7300,2.6500,2.6600,2.5700,154941688,414744149.8200,3,1.211639,1,3.501952,11.096858,1.205768,0.322663,-8.836156,0
2019-01-08,sz.000100,2.6600,2.9300,2.6600,2.8400,2.6600,340228112,977491275.2200,3,2.660572,1,6.766911,11.847774,1.287362,0.344497,-9.434091,0
2019-01-09,sz.000100,2.8200,2.9000,2.7900,2.8200,2.8400,220919349,625561604.5300,3,1.727582,1,-0.704225,11.764339,1.278296,0.342071,-9.367654,0
2019-01-10,sz.000100,2.7800,2.7900,2.6800,2.6900,2.8200,185844858,506085596.7100,3,1.453300,1,-4.609925,11.222011,1.219367,0.326302,-8.935812,0
2019-01-11,sz.000100,2.7800,2.8100,2.7000,2.7400,2.6900,141982423,391990098.2500,3,1.110298,1,1.858734,11.430598,1.242032,0.332367,-9.101905,0
2019-01-14,sz.000100,2.7400,2.7400,2.6900,2.7000,2.7400,77885628,210895773.3400,3,0.609063,1,-1.459853,11.263728,1.223900,0.327515,-8.969030,0
2019-01-15,sz.000100,2.7100,2.7400,2.7000,2.7300,2.7000,79803625,217021777.4500,3,0.624062,1,1.111110,11.388881,1.237499,0.331154,-9.068686,0
2019-01-16,sz.000100,2.7200,2.7300,2.6700,2.6800,2.7300,75959657,204503054.1000,3,0.594002,1,-1.831500,11.180293,1.214834,0.325089,-8.902593,0
2019-01-17,sz.000100,2.6900,2.7000,2.6600,2.6700,2.6800,49550500,132789731.0000,3,0.387483,1,-0.373134,11.138576,1.210301,0.323876,-8.869374,0
2019-01-18,sz.000100,2.6600,2.6900,2.6500,2.6700,2.6700,56064235,149702252.4000,3,0.438420,1,0.000000,11.138576,1.210301,0.323876,-8.869374,0
2019-01-21,sz.000100,2.6700,2.7500,2.6600,2.7300,2.6700,123346422,335672202.3000,3,0.964565,1,2.247189,11.388881,1.237499,0.331154,-9.068686,0
2019-01-22,sz.000100,2.7400,2.7500,2.7000,2.7100,2.7300,37821155,102779341.5000,3,0.295760,1,-0.732600,11.305446,1.228433,0.328728,-9.002249,0
2019-01-23,sz.000100,2.7200,2.7500,2.7100,2.7200,2.7100,41819101,114182237.7200,3,0.327024,1,0.369003,11.347163,1.232966,0.329941,-9.035468,0
2019-01-24,sz.000100,2.7100,2.7400,2.6800,2.7200,2.7200,62690524,169672827.6600,3,0.490238,1,0.000000,11.347163,1.232966,0.329941,-9.035468,0
2019-01-25,sz.000100,2.7100,2.7400,2.6900,2.7200,2.7200,50931098,138730438.0000,3,0.398279,1,0.000000,11.347163,1.232966,0.329941,-9.035468,0
2019-01-28,sz.000100,2.7200,2.7400,2.7200,2.7400,2.7200,47066782,128515901.6600,3,0.368061,1,0.735293,11.430598,1.242032,0.332367,-9.101905,0
2019-01-29,sz.000100,2.7400,2.7500,2.6800,2.7200,2.7400,64133601,174420388.7700,3,0.501523,1,-0.729926,11.347163,1.232966,0.329941,-9.035468,0
2019-01-30,sz.000100,2.7200,2.7700,2.7000,2.7600,2.7200,81745039,223869085.2200,3,0.639243,1,1.470587,11.514033,1.251098,0.334793,-9.168342,0
2019-01-31,sz.000100,2.7600,2.8000,2.7500,2.7500,2.7600,67624413,187144073.0100,3,0.528821,1,-0.362318,11.472316,1.246565,0.333580,-9.135124,0
2019-02-01,sz.000100,2.7600,2.8400,2.7500,2.8400,2.7500,83428607,234663535.7100,3,0.652409,1,3.272724,11.847774,1.287362,0.344497,-9.434091,0
2019-02-11,sz.000100,2.8400,2.9100,2.8300,2.8700,2.8400,112457739,322884590.5000,3,0.879416,1,1.056337,11.972926,1.300961,0.348136,-9.533747,0
2019-02-12,sz.000100,2.8700,3.0600,2.8600,3.0300,2.8700,235521431,701225534.2700,3,1.841769,1,5.574916,12.640406,1.373488,0.367544,-10.065245,0
2019-02-13,sz.000100,3.0800,3.3300,3.0100,3.3300,3.0300,493007568,1577458312.4900,3,3.855302,1,9.900989,13.891932,1.509477,0.403935,-11.061804,0
2019-02-14,sz.000100,3.4700,3.5200,3.1800,3.2400,3.3300,570595216,1889044884.3200,3,4.462035,1,-2.702700,13.516474,1.468680,0.393018,-10.762836,0
2019-02-15,sz.000100,3.1800,3.2900,3.1600,3.2200,3.2400,271129472,875028936.1500,3,2.120223,1,-0.617283,13.433039,1.459614,0.390592,-10.696399,0
2019-02-18,sz.000100,3.2400,3.3600,3.1800,3.3100,3.2200,341756832,1117267757.4100,3,2.672527,1,2.795028,13.808497,1.500411,0.401509,-10.995367,0
2019-02-19,sz.000100,3.2800,3.2900,3.1900,3.2400,3.3100,294164080,954132291.5800,3,2.300353,1,-2.114802,13.516474,1.468680,0.393018,-10.762836,0
2019-02-20,sz.000100,3.2300,3.2700,3.1900,3.2500,3.2400,241337715,779145023.5000,3,1.887253,1,0.308642,13.558192,1.473213,0.394231,-10.796055,0
2019-02-21,sz.000100,3.2200,3.2300,3.1400,3.1700,3.2500,292888352,932019047.5000,3,2.290377,1,-2.461536,13.224451,1.436950,0.384526,-10.530306,0
2019-02-22,sz.000100,3.1400,3.2000,3.1300,3.1900,3.1700,198316696,627875441.2800,3,1.550830,1,0.630914,13.307886,1.446015,0.386952,-10.596743,0
2019-02-25,sz.000100,3.3100,3.4600,3.2500,3.4500,3.1900,559124848,1892839888.3800,3,4.372337,1,8.150470,14.392542,1.563873,0.418491,-11.460428,0
2019-02-26,sz.000100,3.5000,3.6300,3.3600,3.4200,3.4500,548807600,1903243264.8700,3,4.291657,1,-0.869564,14.267389,1.550274,0.414852,-11.360772,0
2019-02-27,sz.000100,3.3700,3.4200,3.2000,3.2500,3.4200,429647904,1426423737.4800,3,3.359832,1,-4.970763,13.558192,1.473213,0.394231,-10.796055,0
2019-02-28,sz.000100,3.2500,3.2900,3.2000,3.2300,3.2500,171376129,555666784.3900,3,1.340155,1,-0.615384,13.474757,1.464147,0.391805,-10.729618,0
2019-03-01,sz.000100,3.2400,3.2900,3.2000,3.2900,3.2300,193440926,629200701.6100,3,1.512701,1,1.857583,13.725062,1.491345,0.399083,-10.928930,0
2019-03-04,sz.000100,3.4800,3.5400,3.4200,3.4500,3.2900,539738656,1873347621.8300,3,4.220738,1,4.863225,14.392542,1.563873,0.418491,-11.460428,0
2019-03-05,sz.000100,3.4700,3.8000,3.4200,3.8000,3.4500,676833888,2501185913.5500,3,5.292818,1,10.144920,15.852655,1.722526,0.460947,-12.623080,0
